Fecha;Hora;META;SUBMETA;Consultor;targets;layer;Nombre Archivo;Carpeta;Path;Descripcion;Pendiente
10-abr;9:05;Pesca Artesanal;;Geovagi Flores;AO;ao_access;desembarques pesca artesanal.xls;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\02 Pesca Artesanal;Informacion de desembarque para la capa ao access;
10-abr;11:09;METODOLOGiA;;Soraya Abad;;;3_Guia_conceptual_del_Indice_de_la_Salud_del_Oceano_-_Filosofia_y_MarcoNov19;METODOLOGIA;Google Drive\INDICE DE SALUD DEL OCEANO GG\METODOLOGIA;guia conceptual en castellano del ISOGG;
10-abr;11:09;METODOLOGIA;;Soraya Abad;;;ptoRefPescaArtesanalRegionales;Punto de Referencia;Google Drive\INDICE DE SALUD DEL OCEANO GG\Punto de Referencia\02 Pesca Artesanal;discusion de como establecieron los puntos de referencia para la pesca artesanal en los estudios regionales de Brasil y la Costa Oeste de los EE.UU.;
14-abr;11:02;BIODIVERSIDAD;;Jimmy Martillo;HAB;hab_extent;TiposdeFondos.xls;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\10 Biodiversidad;extension de los tipos de fondos por region;
14-abr;11:16;BIODIVERSIDAD;;Fernando Rivera;SPP;;SPP UICN V1;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\10 Biodiversidad;Tabla con especies en el GG, tendencia, categoria UICN, y tipo de habitat;
14-abr;14:32;Pesca Artesanal;;Geovagi Flores;AO;capa SAO;Base Desembarques pesca artesanal;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\02 Pesca Artesanal;;CELDAS RESALTADAS EN AMARILLO, CONFIMAR SI  la fórmula planteada por Lelys puede correrse con promedios anuales por grupos de especie
14-abr;;Proteccion Costera;;Jimmy Martillo;HAB;hab_health;proteccion costera 69-99-06.xlsx;;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\05 Proteccion Costera;Unicos datos disponibles digitales de extension de manglar 1km costa adentro, 1km costa afuera;
;;Provision de Alimentos;Pesquerias;Yahira Piedrahita, David Chicaiza;FIS;fis_b_bmsy;Matriz conjugada datos pesqueros,xlsx;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\01 Provision de Alimentos\Documentos ISO GG- Provision de Alimentos\Catch data for each Taxon;COMPLETO PARA PPP y camarOn pomada -(PPG, peces demersales, atunes, dorado de captura artesanal) Campos:  Familia, Genero, especie,  año, captura total (t), resiliencia, puerto de desembarque, zona de pesca y arte de pesca;Calculo MSY
;;Provision de Alimentos;Pesquerias;Yahira Piedrahita, David Chicaiza;FIS;fis_meancatch;Matriz conjugada datos pesqueros,xlsx;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\01 Provision de Alimentos\Documentos ISO GG- Provision de Alimentos\Catch data for each Taxon;COMPLETO PARA PPP y camarOn pomada -(PPG, peces demersales, atunes, dorado de captura artesanal) Campos:  Familia, Genero, especie,  año, captura total (t), resiliencia, puerto de desembarque, zona de pesca y arte de pesca;Verificar region FAO (fao_saupid), taxon_id, value(metric ton)
;;Provision de Alimentos;Pesquerias;;FIS;fis_proparea_saup2rgn;mapas 2.docx;INFORMACION;Google Drive\INDICE DE SALUD DEL OCEANO GG\INFORMACION\01 Provision de Alimentos\Documentos ISO GG- Provision de Alimentos (1)\Area of each saup;Mapas de distribución y abundancia de PPP.;ver regiones de SAUP, y proporcion de area para cada region
